advanced_through,to_reach,seed,team,frequency
First Round,Second Round,9,Utah State,0.2878787878787879
First Round,Second Round,9,Saint Louis,0.21212121212121213
First Round,Second Round,11,VCU,0.16666666666666666
First Round,Second Round,9,Iowa,0.16666666666666666
First Round,Second Round,9,TCU,0.15151515151515152
First Round,Second Round,11,TEX/NCSU,0.15151515151515152
First Round,Second Round,10,Santa Clara,0.13636363636363635
First Round,Second Round,12,Akron,0.13636363636363635
First Round,Second Round,11,M-OH/SMU,0.13636363636363635
First Round,Second Round,14,Penn,0.13636363636363635
First Round,Second Round,15,Tennessee St,0.12121212121212122
First Round,Second Round,11,South Florida,0.12121212121212122
First Round,Second Round,13,Hofstra,0.10606060606060606
First Round,Second Round,10,Missouri,0.10606060606060606
First Round,Second Round,12,McNeese,0.09090909090909091
First Round,Second Round,12,Northern Iowa,0.07575757575757576
First Round,Second Round,12,High Point,0.07575757575757576
First Round,Second Round,13,Troy,0.06060606060606061
First Round,Second Round,13,CA Baptist,0.06060606060606061
First Round,Second Round,10,Texas A&M,0.06060606060606061
First Round,Second Round,10,UCF,0.045454545454545456
First Round,Second Round,14,Kennesaw St,0.030303030303030304
First Round,Second Round,13,Hawai'i,0.030303030303030304
First Round,Second Round,15,Queens,0.030303030303030304
First Round,Second Round,16,UMBC/HOW,0.030303030303030304
First Round,Second Round,14,N Dakota St,0.015151515151515152
First Round,Second Round,16,Siena,0.015151515151515152
First Round,Second Round,15,Idaho,0.015151515151515152
First Round,Second Round,14,Wright St,0.015151515151515152
Second Round,Sweet 16,5,St John's,0.2878787878787879
Second Round,Sweet 16,5,Vanderbilt,0.21212121212121213
Second Round,Sweet 16,5,Wisconsin,0.15151515151515152
Second Round,Sweet 16,5,Texas Tech,0.15151515151515152
Second Round,Sweet 16,7,UCLA,0.13636363636363635
Second Round,Sweet 16,7,Kentucky,0.13636363636363635
Second Round,Sweet 16,7,Saint Mary's,0.12121212121212122
Second Round,Sweet 16,6,North Carolina,0.12121212121212122
Second Round,Sweet 16,6,Tennessee,0.12121212121212122
Second Round,Sweet 16,7,Miami,0.12121212121212122
Second Round,Sweet 16,6,Louisville,0.10606060606060606
Second Round,Sweet 16,6,BYU,0.09090909090909091
Second Round,Sweet 16,11,VCU,0.06060606060606061
Second Round,Sweet 16,9,TCU,0.045454545454545456
Second Round,Sweet 16,15,Tennessee St,0.045454545454545456
Second Round,Sweet 16,8,Clemson,0.030303030303030304
Second Round,Sweet 16,12,Akron,0.030303030303030304
Second Round,Sweet 16,12,McNeese,0.030303030303030304
Second Round,Sweet 16,10,Missouri,0.030303030303030304
Second Round,Sweet 16,8,Villanova,0.030303030303030304
Second Round,Sweet 16,13,Hofstra,0.030303030303030304
Second Round,Sweet 16,8,Ohio State,0.030303030303030304
Second Round,Sweet 16,10,Santa Clara,0.015151515151515152
Second Round,Sweet 16,12,High Point,0.015151515151515152
Second Round,Sweet 16,11,South Florida,0.015151515151515152
Second Round,Sweet 16,9,Iowa,0.015151515151515152
Second Round,Sweet 16,10,UCF,0.015151515151515152
Second Round,Sweet 16,10,Texas A&M,0.015151515151515152
Second Round,Sweet 16,9,Saint Louis,0.015151515151515152
Second Round,Sweet 16,8,Georgia,0.015151515151515152
Sweet 16,Elite 8,3,Michigan St,0.2727272727272727
Sweet 16,Elite 8,3,Virginia,0.22727272727272727
Sweet 16,Elite 8,3,Gonzaga,0.21212121212121213
Sweet 16,Elite 8,3,Illinois,0.10606060606060606
Sweet 16,Elite 8,4,Kansas,0.10606060606060606
Sweet 16,Elite 8,4,Nebraska,0.09090909090909091
Sweet 16,Elite 8,6,Tennessee,0.06060606060606061
Sweet 16,Elite 8,4,Alabama,0.06060606060606061
Sweet 16,Elite 8,5,St John's,0.045454545454545456
Sweet 16,Elite 8,4,Arkansas,0.045454545454545456
Sweet 16,Elite 8,6,North Carolina,0.045454545454545456
Sweet 16,Elite 8,7,Miami,0.045454545454545456
Sweet 16,Elite 8,7,Saint Mary's,0.030303030303030304
Sweet 16,Elite 8,12,Akron,0.015151515151515152
Sweet 16,Elite 8,5,Texas Tech,0.015151515151515152
Sweet 16,Elite 8,6,Louisville,0.015151515151515152
Sweet 16,Elite 8,5,Vanderbilt,0.015151515151515152
Sweet 16,Elite 8,8,Villanova,0.015151515151515152
Sweet 16,Elite 8,13,Hofstra,0.015151515151515152
Sweet 16,Elite 8,6,BYU,0.015151515151515152
Sweet 16,Elite 8,7,UCLA,0.015151515151515152
Sweet 16,Elite 8,8,Ohio State,0.015151515151515152
Sweet 16,Elite 8,10,Texas A&M,0.015151515151515152
Elite 8,Final Four,2,Houston,0.24242424242424243
Elite 8,Final Four,2,Iowa State,0.13636363636363635
Elite 8,Final Four,3,Michigan St,0.10606060606060606
Elite 8,Final Four,2,UConn,0.09090909090909091
Elite 8,Final Four,2,Purdue,0.07575757575757576
Elite 8,Final Four,3,Gonzaga,0.045454545454545456
Elite 8,Final Four,3,Virginia,0.030303030303030304
Elite 8,Final Four,4,Alabama,0.030303030303030304
Elite 8,Final Four,7,Saint Mary's,0.015151515151515152
Elite 8,Final Four,5,St John's,0.015151515151515152
Elite 8,Final Four,5,Vanderbilt,0.015151515151515152
Elite 8,Final Four,7,UCLA,0.015151515151515152
Elite 8,Final Four,3,Illinois,0.015151515151515152
Final Four,Championship,2,Houston,0.07575757575757576
Final Four,Championship,2,Iowa State,0.045454545454545456
