advanced_through,to_reach,seed,team,frequency
First Round,Second Round,10,Colorado,0.3939393939393939
First Round,Second Round,9,USC,0.36363636363636365
First Round,Second Round,10,Villanova,0.3333333333333333
First Round,Second Round,12,Murray St,0.30303030303030304
First Round,Second Round,12,James Madison,0.30303030303030304
First Round,Second Round,12,Colorado St,0.30303030303030304
First Round,Second Round,9,Virginia Tech,0.24242424242424243
First Round,Second Round,9,Princeton,0.24242424242424243
First Round,Second Round,14,Howard,0.24242424242424243
First Round,Second Round,9,Syracuse,0.24242424242424243
First Round,Second Round,11,S Dakota St,0.21212121212121213
First Round,Second Round,11,Rhode Island,0.21212121212121213
First Round,Second Round,12,Gonzaga,0.21212121212121213
First Round,Second Round,10,Tennessee,0.21212121212121213
First Round,Second Round,11,Fairfield,0.21212121212121213
First Round,Second Round,11,NEB/RICH,0.21212121212121213
First Round,Second Round,13,Idaho,0.15151515151515152
First Round,Second Round,14,UC San Diego,0.15151515151515152
First Round,Second Round,14,Vermont,0.15151515151515152
First Round,Second Round,13,Miami OH,0.15151515151515152
First Round,Second Round,10,UVA/ASU,0.15151515151515152
First Round,Second Round,15,FDU,0.12121212121212122
First Round,Second Round,13,W Illinois,0.12121212121212122
First Round,Second Round,13,Green Bay,0.09090909090909091
First Round,Second Round,15,Holy Cross,0.09090909090909091
First Round,Second Round,15,High Point,0.06060606060606061
First Round,Second Round,14,Charleston,0.06060606060606061
First Round,Second Round,15,Jacksonville,0.030303030303030304
First Round,Second Round,16,UTSA,0.030303030303030304
First Round,Second Round,16,SOU/SAM,0.030303030303030304
Second Round,Sweet 16,7,NC State,0.30303030303030304
Second Round,Sweet 16,5,Michigan St,0.24242424242424243
Second Round,Sweet 16,6,Notre Dame,0.21212121212121213
Second Round,Sweet 16,5,Kentucky,0.18181818181818182
Second Round,Sweet 16,5,Ole Miss,0.18181818181818182
Second Round,Sweet 16,5,Maryland,0.18181818181818182
Second Round,Sweet 16,6,Washington,0.15151515151515152
Second Round,Sweet 16,7,Georgia,0.15151515151515152
Second Round,Sweet 16,6,Baylor,0.15151515151515152
Second Round,Sweet 16,7,Illinois,0.12121212121212122
Second Round,Sweet 16,12,Murray St,0.12121212121212122
Second Round,Sweet 16,14,Vermont,0.12121212121212122
Second Round,Sweet 16,9,USC,0.09090909090909091
Second Round,Sweet 16,8,Oregon,0.09090909090909091
Second Round,Sweet 16,7,Texas Tech,0.09090909090909091
Second Round,Sweet 16,6,Alabama,0.09090909090909091
Second Round,Sweet 16,12,Gonzaga,0.09090909090909091
Second Round,Sweet 16,12,James Madison,0.09090909090909091
Second Round,Sweet 16,10,Tennessee,0.09090909090909091
Second Round,Sweet 16,8,Clemson,0.06060606060606061
Second Round,Sweet 16,8,Iowa State,0.06060606060606061
Second Round,Sweet 16,11,Rhode Island,0.06060606060606061
Second Round,Sweet 16,10,Colorado,0.06060606060606061
Second Round,Sweet 16,11,NEB/RICH,0.06060606060606061
Second Round,Sweet 16,11,Fairfield,0.06060606060606061
Second Round,Sweet 16,10,Villanova,0.030303030303030304
Second Round,Sweet 16,13,Idaho,0.030303030303030304
Second Round,Sweet 16,8,Oklahoma St,0.030303030303030304
Second Round,Sweet 16,14,UC San Diego,0.030303030303030304
Second Round,Sweet 16,11,S Dakota St,0.030303030303030304
Second Round,Sweet 16,13,W Illinois,0.030303030303030304
Second Round,Sweet 16,15,FDU,0.030303030303030304
Second Round,Sweet 16,9,Syracuse,0.030303030303030304
Second Round,Sweet 16,14,Howard,0.030303030303030304
Second Round,Sweet 16,12,Colorado St,0.030303030303030304
Second Round,Sweet 16,9,Princeton,0.030303030303030304
Second Round,Sweet 16,15,High Point,0.030303030303030304
