seed,team,winning_count,non_winning_count,winning_freq,non_winning_freq,freq_diff,relative_advantage
1,Houston,733,1663,0.733,0.1847777777777778,0.5482222222222222,2.966927239927841
1,Florida,167,1146,0.167,0.12733333333333333,0.03966666666666668,0.31151832460733
16,SIUE,0,5,0.0,0.0005555555555555556,-0.0005555555555555556,-1.0
16,American,0,6,0.0,0.0006666666666666666,-0.0006666666666666666,-1.0
14,UNC Wilmington,0,6,0.0,0.0006666666666666666,-0.0006666666666666666,-1.0
14,Troy,0,8,0.0,0.0008888888888888889,-0.0008888888888888889,-1.0
16,Norfolk St,0,9,0.0,0.001,-0.001,-1.0
14,Montana,0,9,0.0,0.001,-0.001,-1.0
14,Lipscomb,0,10,0.0,0.0011111111111111111,-0.0011111111111111111,-1.0
15,Bryant,0,11,0.0,0.0012222222222222222,-0.0012222222222222222,-1.0
15,Omaha,0,12,0.0,0.0013333333333333333,-0.0013333333333333333,-1.0
15,Wofford,0,12,0.0,0.0013333333333333333,-0.0013333333333333333,-1.0
11,San Diego St,0,14,0.0,0.0015555555555555555,-0.0015555555555555555,-1.0
11,Texas,1,23,0.001,0.0025555555555555557,-0.0015555555555555557,-0.6086956521739131
12,McNeese,0,16,0.0,0.0017777777777777779,-0.0017777777777777779,-1.0
8,Mississippi St,0,18,0.0,0.002,-0.002,-1.0
10,Vanderbilt,0,19,0.0,0.002111111111111111,-0.002111111111111111,-1.0
9,Georgia,0,20,0.0,0.0022222222222222222,-0.0022222222222222222,-1.0
13,Yale,0,20,0.0,0.0022222222222222222,-0.0022222222222222222,-1.0
15,Robert Morris,0,20,0.0,0.0022222222222222222,-0.0022222222222222222,-1.0
12,Liberty,0,21,0.0,0.0023333333333333335,-0.0023333333333333335,-1.0
9,Oklahoma,0,22,0.0,0.0024444444444444444,-0.0024444444444444444,-1.0
6,Missouri,0,23,0.0,0.0025555555555555557,-0.0025555555555555557,-1.0
13,Grand Canyon,0,23,0.0,0.0025555555555555557,-0.0025555555555555557,-1.0
8,UConn,0,25,0.0,0.002777777777777778,-0.002777777777777778,-1.0
13,Akron,0,26,0.0,0.0028888888888888888,-0.0028888888888888888,-1.0
13,High Point,0,27,0.0,0.003,-0.003,-1.0
9,Baylor,0,28,0.0,0.003111111111111111,-0.003111111111111111,-1.0
10,Utah State,0,31,0.0,0.0034444444444444444,-0.0034444444444444444,-1.0
7,Kansas,0,34,0.0,0.003777777777777778,-0.003777777777777778,-1.0
10,Arkansas,0,34,0.0,0.003777777777777778,-0.003777777777777778,-1.0
9,Creighton,0,35,0.0,0.0038888888888888888,-0.0038888888888888888,-1.0
7,Marquette,0,39,0.0,0.004333333333333333,-0.004333333333333333,-1.0
4,Purdue,0,40,0.0,0.0044444444444444444,-0.0044444444444444444,-1.0
10,New Mexico,0,41,0.0,0.004555555555555556,-0.004555555555555556,-1.0
7,UCLA,0,44,0.0,0.004888888888888889,-0.004888888888888889,-1.0
12,UC San Diego,0,45,0.0,0.005,-0.005,-1.0
4,Texas A&M,1,56,0.001,0.006222222222222222,-0.005222222222222222,-0.8392857142857143
12,Colorado St,0,47,0.0,0.005222222222222222,-0.005222222222222222,-1.0
11,Drake,0,50,0.0,0.005555555555555556,-0.005555555555555556,-1.0
6,Ole Miss,0,51,0.0,0.005666666666666667,-0.005666666666666667,-1.0
6,Illinois,0,60,0.0,0.006666666666666667,-0.006666666666666667,-1.0
11,VCU,0,66,0.0,0.007333333333333333,-0.007333333333333333,-1.0
5,Oregon,0,72,0.0,0.008,-0.008,-1.0
5,Memphis,0,73,0.0,0.00811111111111111,-0.00811111111111111,-1.0
4,Arizona,0,77,0.0,0.008555555555555556,-0.008555555555555556,-1.0
4,Maryland,0,77,0.0,0.008555555555555556,-0.008555555555555556,-1.0
7,Saint Mary's,0,80,0.0,0.008888888888888889,-0.008888888888888889,-1.0
3,Iowa State,0,86,0.0,0.009555555555555555,-0.009555555555555555,-1.0
8,Gonzaga,0,88,0.0,0.009777777777777778,-0.009777777777777778,-1.0
3,Wisconsin,0,96,0.0,0.010666666666666666,-0.010666666666666666,-1.0
6,BYU,0,100,0.0,0.011111111111111112,-0.011111111111111112,-1.0
3,Texas Tech,0,101,0.0,0.011222222222222222,-0.011222222222222222,-1.0
3,Kentucky,0,110,0.0,0.012222222222222223,-0.012222222222222223,-1.0
5,Clemson,1,120,0.001,0.013333333333333334,-0.012333333333333335,-0.925
8,Louisville,0,122,0.0,0.013555555555555555,-0.013555555555555555,-1.0
5,Michigan,0,130,0.0,0.014444444444444444,-0.014444444444444444,-1.0
16,Alabama St,0,149,0.0,0.016555555555555556,-0.016555555555555556,-1.0
1,Auburn,17,354,0.017,0.03933333333333333,-0.02233333333333333,-0.5677966101694915
2,Alabama,3,264,0.003,0.029333333333333333,-0.026333333333333334,-0.8977272727272727
2,Michigan St,6,403,0.006,0.04477777777777778,-0.03877777777777778,-0.8660049627791564
2,Tennessee,6,413,0.006,0.04588888888888889,-0.03988888888888889,-0.8692493946731236
1,Duke,55,1012,0.055,0.11244444444444444,-0.057444444444444444,-0.5108695652173914
2,St John's,10,1158,0.01,0.12866666666666668,-0.11866666666666668,-0.922279792746114
