round,upsets,winners_density,non_winners_density,advantage,relative_advantage
First Round,0.0,0.005,0.003775510204081633,0.0012244897959183673,0.3243243243243243
First Round,1.0,0.015,0.009693877551020408,0.005306122448979591,0.5473684210526315
First Round,2.0,0.035,0.01663265306122449,0.018367346938775512,1.1042944785276074
First Round,3.0,0.04,0.02153061224489796,0.01846938775510204,0.85781990521327
First Round,4.0,0.08,0.03173469387755102,0.04826530612244898,1.5209003215434085
First Round,5.0,0.08,0.044897959183673466,0.035102040816326535,0.781818181818182
First Round,6.0,0.095,0.0626530612244898,0.0323469387755102,0.5162866449511401
First Round,7.0,0.15,0.0823469387755102,0.06765306122448979,0.8215613382899627
First Round,8.0,0.12,0.0913265306122449,0.0286734693877551,0.3139664804469273
First Round,9.0,0.085,0.1076530612244898,-0.02265306122448979,-0.21042654028436014
First Round,10.0,0.09,0.115,-0.02500000000000001,-0.21739130434782614
First Round,11.0,0.065,0.10561224489795919,-0.040612244897959185,-0.38454106280193234
First Round,12.0,0.075,0.09428571428571429,-0.019285714285714295,-0.20454545454545464
First Round,13.0,0.02,0.07397959183673469,-0.05397959183673469,-0.7296551724137931
First Round,14.0,0.025,0.05408163265306123,-0.029081632653061226,-0.5377358490566038
First Round,15.0,0.01,0.036326530612244896,-0.026326530612244894,-0.7247191011235954
First Round,16.0,0.01,0.021122448979591837,-0.011122448979591837,-0.5265700483091788
First Round,17.0,0.0,0.013469387755102041,-0.013469387755102041,-1.0
First Round,18.0,0.0,0.007142857142857143,-0.007142857142857143,-1.0
First Round,19.0,0.0,0.003061224489795918,-0.003061224489795918,-1.0
First Round,20.0,0.0,0.002346938775510204,-0.002346938775510204,-1.0
First Round,21.0,0.0,0.0012244897959183673,-0.0012244897959183673,-1.0
First Round,22.0,0.0,0.0,0.0,inf
First Round,23.0,0.0,0.00010204081632653062,-0.00010204081632653062,-1.0
First Round,24.0,0.0,0.0,0.0,inf
First Round,25.0,0.0,0.0,0.0,inf
First Round,26.0,0.0,0.0,0.0,inf
First Round,27.0,0.0,0.0,0.0,inf
First Round,28.0,0.0,0.0,0.0,inf
First Round,29.0,0.0,0.0,0.0,inf
First Round,30.0,0.0,0.0,0.0,inf
First Round,31.0,0.0,0.0,0.0,inf
First Round,32.0,0.0,0.0,0.0,inf
Second Round,0.0,0.005,0.004897959183673469,0.00010204081632653097,0.02083333333333341
Second Round,1.0,0.035,0.01193877551020408,0.023061224489795924,1.9316239316239323
Second Round,2.0,0.04,0.02122448979591837,0.018775510204081632,0.8846153846153846
Second Round,3.0,0.115,0.037959183673469385,0.07704081632653062,2.0295698924731185
Second Round,4.0,0.085,0.05551020408163265,0.029489795918367354,0.5312500000000001
Second Round,5.0,0.13,0.09326530612244897,0.03673469387755103,0.39387308533916865
Second Round,6.0,0.17,0.12571428571428572,0.04428571428571429,0.3522727272727273
Second Round,7.0,0.18,0.14653061224489797,0.033469387755102026,0.22841225626740935
Second Round,8.0,0.115,0.14795918367346939,-0.03295918367346938,-0.22275862068965513
Second Round,9.0,0.075,0.1320408163265306,-0.057040816326530616,-0.4319938176197836
Second Round,10.0,0.04,0.09938775510204081,-0.059387755102040814,-0.5975359342915811
Second Round,11.0,0.01,0.06275510204081633,-0.05275510204081633,-0.840650406504065
Second Round,12.0,0.0,0.037142857142857144,-0.037142857142857144,-1.0
Second Round,13.0,0.0,0.017040816326530612,-0.017040816326530612,-1.0
Second Round,14.0,0.0,0.004795918367346939,-0.004795918367346939,-1.0
Second Round,15.0,0.0,0.0016326530612244899,-0.0016326530612244899,-1.0
Second Round,16.0,0.0,0.00020408163265306123,-0.00020408163265306123,-1.0
Sweet 16,0.0,0.05,0.01683673469387755,0.03316326530612245,1.9696969696969697
Sweet 16,1.0,0.075,0.05,0.024999999999999994,0.4999999999999999
Sweet 16,2.0,0.16,0.10622448979591836,0.05377551020408164,0.5062439961575409
Sweet 16,3.0,0.305,0.17285714285714285,0.13214285714285715,0.7644628099173554
Sweet 16,4.0,0.235,0.21622448979591838,0.018775510204081608,0.0868334119867861
Sweet 16,5.0,0.13,0.2045918367346939,-0.07459183673469388,-0.36458852867830427
Sweet 16,6.0,0.04,0.145,-0.10499999999999998,-0.7241379310344827
Sweet 16,7.0,0.005,0.06857142857142857,-0.06357142857142857,-0.9270833333333333
Sweet 16,8.0,0.0,0.01969387755102041,-0.01969387755102041,-1.0
Elite 8,0.0,0.065,0.03316326530612245,0.03183673469387755,0.96
Elite 8,1.0,0.19,0.1233673469387755,0.0666326530612245,0.5401157981803144
Elite 8,2.0,0.41,0.2876530612244898,0.12234693877551017,0.42532813054274554
Elite 8,3.0,0.26,0.3551020408163265,-0.0951020408163265,-0.26781609195402295
Elite 8,4.0,0.075,0.2007142857142857,-0.12571428571428572,-0.6263345195729538
Total Upsets,0.0,0.0,0.0010204081632653062,-0.0010204081632653062,-1.0
Total Upsets,1.0,0.0,0.0010204081632653062,-0.0010204081632653062,-1.0
